Country,Weight_kg,Price_KRW
Singapore,18.5,70000
Spain,18.5,143500
Taiwan,18.5,68500
Japan,19.0,65500
Malaysia,19.0,100900
New Zealand,19.0,148500
Philippines,19.0,75000
Russia,19.0,200000
Singapore,19.0,71500
Spain,19.0,147000
Taiwan,19.0,70000
Japan,19.5,67000
Malaysia,19.5,103200
New Zealand,19.5,151500
Philippines,19.5,76500
Russia,19.5,205000
Singapore,19.5,73000
Spain,19.5,150500
Taiwan,19.5,71500
Japan,20.0,68000
Malaysia,20.0,105500
New Zealand,20.0,155000
Philippines,20.0,78000
Russia,20.0,209500
Singapore,20.0,74500
Spain,20.0,154000
Taiwan,20.0,73000
Japan,20.5,66500
Malaysia,20.5,100900
New Zealand,20.5,148500
Philippines,20.5,75000
Russia,20.5,200000
Singapore,20.5,71500
Spain,20.5,147000
Taiwan,20.5,70000
Thailand,0.5,17000
United Kingdom,0.5,26000
United States,0.5,23500
Vietnam,0.5,12500
Thailand,1.0,20000
United Kingdom,1.0,30500
United States,1.0,28000
Vietnam,1.0,14000
Thailand,1.5,23000
United Kingdom,1.5,32000
United States,1.5,31000
Vietnam,1.5,15500
Thailand,2.0,25500
United Kingdom,2.0,34000
United States,2.0,37000
Vietnam,2.0,17000
Thailand,2.5,26000
United Kingdom,2.5,35500
United States,2.5,42500
Vietnam,2.5,18500
Thailand,3.0,27500
United Kingdom,3.0,37000
United States,3.0,48000
Vietnam,3.0,20500
Thailand,3.5,29000
United Kingdom,3.5,40500
United States,3.5,54000
Vietnam,3.5,22000
Thailand,4.0,30500
United Kingdom,4.0,44000
United States,4.0,59500
Vietnam,4.0,24000
Thailand,4.5,32000
United Kingdom,4.5,47500
United States,4.5,65500
Vietnam,4.5,26000
Thailand,5.0,33500
United Kingdom,5.0,51000
United States,5.0,71000
Vietnam,5.0,28000
Thailand,5.5,35000
United Kingdom,5.5,54500
United States,5.5,77000
Vietnam,5.5,30000
Thailand,6.0,36500
United Kingdom,6.0,58000
United States,6.0,82500
Vietnam,6.0,31500
Thailand,6.5,38000
United Kingdom,6.5,61500
United States,6.5,88000
Vietnam,6.5,33500
Thailand,7.0,39500
United Kingdom,7.0,65000
United States,7.0,94000
Vietnam,7.0,35500
Thailand,7.5,41000
United Kingdom,7.5,68500
United States,7.5,99500
Vietnam,7.5,37500
Thailand,8.0,42500
United Kingdom,8.0,72000
United States,8.0,105500
Vietnam,8.0,39000
Thailand,8.5,44500
United Kingdom,8.5,75500
United States,8.5,111000
Vietnam,8.5,41000
Thailand,9.0,46500
United Kingdom,9.0,79000
United States,9.0,117000
Vietnam,9.0,43000
Thailand,9.5,48500
United Kingdom,9.5,82500
United States,9.5,122500
Vietnam,9.5,45000
Thailand,10.0,50500
United Kingdom,10.0,86000
United States,10.0,128000
Vietnam,10.0,47000
Thailand,10.5,52500
United Kingdom,10.5,89500
United States,10.5,134000
Vietnam,10.5,48500
Thailand,11.0,54500
United Kingdom,11.0,93000
United States,11.0,139500
Vietnam,11.0,50500
Thailand,11.5,56500
United Kingdom,11.5,96500
United States,11.5,145500
Vietnam,11.5,52500
Thailand,12.0,58500
United Kingdom,12.0,100000
United States,12.0,151000
Vietnam,12.0,54500
Thailand,12.5,60500
United Kingdom,12.5,103500
United States,12.5,157000
Vietnam,12.5,56000
Thailand,13.0,62500
United Kingdom,13.0,107000
United States,13.0,162500
Vietnam,13.0,58000
Thailand,13.5,64500
United Kingdom,13.5,110500
United States,13.5,168500
Vietnam,13.5,60000
Thailand,14.0,66500
United Kingdom,14.0,114000
United States,14.0,174000
Vietnam,14.0,62000
Thailand,14.5,68500
United Kingdom,14.5,117500
United States,14.5,179500
Vietnam,14.5,63500
Thailand,15.0,70500
United Kingdom,15.0,121000
United States,15.0,185500
Vietnam,15.0,65500
Thailand,15.5,72500
United Kingdom,15.5,124500
United States,15.5,191000
Vietnam,15.5,67500
Thailand,16.0,74500
United Kingdom,16.0,128000
United States,16.0,197000
Vietnam,16.0,69500
Thailand,16.5,76500
United Kingdom,16.5,131500
United States,16.5,202500
Vietnam,16.5,71500
Thailand,17.0,78500
United Kingdom,17.0,135000
United States,17.0,208500
Vietnam,17.0,73000
Thailand,17.5,80500
United Kingdom,17.5,138500
United States,17.5,214000
Vietnam,17.5,75000
Thailand,18.0,82500
United Kingdom,18.0,142000
United States,18.0,219500
Vietnam,18.0,77000
Thailand,18.5,84500
United Kingdom,18.5,145500
United States,18.5,225500
Vietnam,18.5,79000
Thailand,19.0,86500
United Kingdom,19.0,149000
United States,19.0,231000
Vietnam,19.0,80500
Thailand,19.5,88500
United Kingdom,19.5,152500
United States,19.5,237000
Vietnam,19.5,82500
Thailand,20.0,90500
United Kingdom,20.0,156000
United States,20.0,242500
Vietnam,20.0,84500
Thailand,20.5,88500
United Kingdom,20.5,152500
United States,20.5,237000
Vietnam,20.5,82500
Cambodia,0.5,13500
Cambodia,1.0,15500
Cambodia,1.5,17000
Cambodia,2.0,19000
Cambodia,2.5,21000
Cambodia,3.0,23000
Cambodia,3.5,24500
Cambodia,4.0,27000
Cambodia,4.5,28500
Cambodia,5.0,30500
Cambodia,5.5,32500
Cambodia,6.0,34500
Cambodia,6.5,36500
Cambodia,7.0,38500
Cambodia,7.5,40500
Cambodia,8.0,42000
Cambodia,8.5,44000
